"","token","tag","pos","category","funct","case","pers","num","gender","tense","mode"
"3090","Wunde","N.Reg.Acc.Sg.Fem","N","Reg",NA,"Acc",NA,"Sg","Fem",NA,NA
"3091","aufgerissen","VPP.Full.Psp","VPP","Full","Psp",NA,NA,NA,NA,NA,NA
"3092",",","SYM.Pun.Comma","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"3093","wenn","CONJ.SubFin.-","CONJ","SubFin",NA,NA,NA,NA,NA,NA,NA
"3094","man","PRO.Indef.Subst.-.Nom.Sg.*","PRO","Indef","Subst","Nom",NA,"Sg",NA,NA,NA
"3095","ihn","PRO.Pers.Subst.3.Acc.Sg.Masc","PRO","Pers","Subst","Acc","3","Sg","Masc",NA,NA
"3096","nicht","PART.Neg","PART","Neg",NA,NA,NA,NA,NA,NA,NA
"3097","sorgfältig","ADJD.Pos","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"3098","bewachet","VPP.Full.Psp","VPP","Full","Psp",NA,NA,NA,NA,NA,NA
"3099","hätte","VFIN.Haben.3.Sg.Past.Subj","VFIN",NA,NA,NA,"3","Sg",NA,"Past","Subj"
"3100",".","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"3101","Die","ART.Def.Nom.Sg.Fem","ART","Def",NA,"Nom",NA,"Sg","Fem",NA,NA
"3102","Nachricht","N.Reg.Nom.Sg.Fem","N","Reg",NA,"Nom",NA,"Sg","Fem",NA,NA
"3103",",","SYM.Pun.Comma","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"3104","daß","CONJ.SubFin.-","CONJ","SubFin",NA,NA,NA,NA,NA,NA,NA
"3105","Polytimet","N.Name.Nom.Sg.*","N","Name",NA,"Nom",NA,"Sg",NA,NA,NA
"3106","eben","ADV","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"3107","so","ADV","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"3108","wol","ADJD.Pos","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"3109","gefangen","VPP.Full.Psp","VPP","Full","Psp",NA,NA,NA,NA,NA,NA
"3110","wäre","VFIN.Sein.3.Sg.Past.Subj","VFIN",NA,NA,NA,"3","Sg",NA,"Past","Subj"
"3111",",","SYM.Pun.Comma","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"3112","machte","VFIN.Full.3.Sg.Past.Ind","VFIN","Full",NA,NA,"3","Sg",NA,"Past","Ind"
"3113","ihn","PRO.Pers.Subst.3.Acc.Sg.Masc","PRO","Pers","Subst","Acc","3","Sg","Masc",NA,NA
"3114","nicht","PART.Neg","PART","Neg",NA,NA,NA,NA,NA,NA,NA
"3115","viel","ADV","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"3116","ruhiger","ADJD.Comp","ADJD","Comp",NA,NA,NA,NA,NA,NA,NA
"3117",";","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"3118","es","PRO.Pers.Subst.3.Nom.Sg.Neut","PRO","Pers","Subst","Nom","3","Sg","Neut",NA,NA
"3119","schien","VFIN.Full.3.Sg.Past.Ind","VFIN","Full",NA,NA,"3","Sg",NA,"Past","Ind"
"3120",",","SYM.Pun.Comma","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"3121","daß","CONJ.SubFin.-","CONJ","SubFin",NA,NA,NA,NA,NA,NA,NA
"3122","daher","PROADV.Dem","PROADV","Dem",NA,NA,NA,NA,NA,NA,NA
"3123","eine","ART.Indef.Nom.Sg.Fem","ART","Indef",NA,"Nom",NA,"Sg","Fem",NA,NA
"3124","neue","ADJA.Pos.Nom.Sg.Fem","ADJA","Pos",NA,"Nom",NA,"Sg","Fem",NA,NA
"3125","Reihe","N.Reg.Nom.Sg.Fem","N","Reg",NA,"Nom",NA,"Sg","Fem",NA,NA
"3126","Gedanken","N.Reg.Nom.Pl.Masc","N","Reg",NA,"Nom",NA,"Pl","Masc",NA,NA
"3127","und","CONJ.Coord.-","CONJ","Coord",NA,NA,NA,NA,NA,NA,NA
"3128","Entwürfe","N.Reg.Nom.Pl.Masc","N","Reg",NA,"Nom",NA,"Pl","Masc",NA,NA
"3129","bey","FM","FM",NA,NA,NA,NA,NA,NA,NA,NA
"3130","ihm","PRO.Pers.Subst.3.Dat.Sg.Masc","PRO","Pers","Subst","Dat","3","Sg","Masc",NA,NA
"3131","entstanden","VPP.Full.Psp","VPP","Full","Psp",NA,NA,NA,NA,NA,NA
"3132","wären","VFIN.Sein.3.Pl.Past.Subj","VFIN",NA,NA,NA,"3","Pl",NA,"Past","Subj"
"3133",".","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"3134","Wohin","PROADV.Inter","PROADV","Inter",NA,NA,NA,NA,NA,NA,NA
"3135","sie","PRO.Pers.Subst.3.Nom.Pl.*","PRO","Pers","Subst","Nom","3","Pl",NA,NA,NA
